time_ms, force_y, torque_z, thrust, B_x, B_y, torque_z_sp, thrust_sp, amp_cut_in, phase_lag, angular_velocity

2047198, -0.00081, -0.00322, 0.00197, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2047208, -0.00081, -0.00322, 0.00197, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2047218, -0.00081, -0.00322, 0.00197, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2047229, -0.00081, -0.00322, 0.00197, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2047239, -0.00081, -0.00322, 0.00197, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2047249, -0.00081, -0.00322, 0.00197, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2047259, -0.00081, -0.00322, 0.00197, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2047269, -0.00081, -0.00322, 0.00197, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2047279, -0.00081, -0.00322, 0.00197, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2047289, -0.00081, -0.00322, 0.00197, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2047299, -0.00099, -0.00375, 0.00241, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 3.99475
2047310, -0.00099, -0.00375, 0.00241, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 3.99475
2047320, -0.00099, -0.00375, 0.00241, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 3.99475
2047330, -0.00099, -0.00375, 0.00241, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 3.99475
2047340, -0.00099, -0.00375, 0.00241, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 3.99475
