time_ms, force_y, torque_z, thrust, B_x, B_y, torque_z_sp, thrust_sp, amp_cut_in, phase_lag, angular_velocity
508100, -0.00183, 0.00060, 0.00078, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
508110, -0.00183, 0.00060, 0.00078, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
508120, -0.00183, 0.00060, 0.00078, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
508130, -0.00183, 0.00060, 0.00078, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
508140, -0.00183, 0.00060, 0.00078, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
508150, -0.00183, 0.00060, 0.00078, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
508160, -0.00183, 0.00060, 0.00078, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
508170, -0.00183, 0.00060, 0.00078, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
508180, -0.00183, 0.00060, 0.00078, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
508190, -0.00183, 0.00060, 0.00078, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
508200, -0.00072, -0.00010, -0.00059, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 7.37493
508210, -0.00072, -0.00010, -0.00059, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 7.37493
508220, -0.00072, -0.00010, -0.00059, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 7.37493
508230, -0.00072, -0.00010, -0.00059, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 7.37493
508240, -0.00072, -0.00010, -0.00059, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 7.37493
508250, -0.00072, -0.00010, -0.00059, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 7.37493
508260, -0.00072, -0.00010, -0.00059, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 7.37493
508270, -0.00072, -0.00010, -0.00059, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 7.37493
508280, -0.00072, -0.00010, -0.00059, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 7.37493
508290, -0.00104, -0.00062, -0.00102, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 10.27222
508300, -0.00104, -0.00062, -0.00102, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 10.27222
508310, -0.00104, -0.00062, -0.00102, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 10.27222
508320, -0.00104, -0.00062, -0.00102, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 10.27222
508330, -0.00104, -0.00062, -0.00102, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 10.27222
508340, -0.00104, -0.00062, -0.00102, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 10.27222
508350, -0.00104, -0.00062, -0.00102, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 10.27222
508360, -0.00104, -0.00062, -0.00102, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 10.27222
