time_ms, force_y, torque_z, thrust, B_x, B_y, torque_z_sp, thrust_sp, amp_cut_in, phase_lag, angular_velocity

2227136, -0.00200, -0.00796, 0.00226, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 101.86620
2227148, -0.00200, -0.00796, 0.00226, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227158, -0.00200, -0.00796, 0.00226, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227168, -0.00200, -0.00796, 0.00226, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227178, -0.00200, -0.00796, 0.00226, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227188, -0.00200, -0.00796, 0.00226, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227198, -0.00200, -0.00796, 0.00226, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227208, -0.00200, -0.00796, 0.00226, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227218, -0.00200, -0.00796, 0.00226, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227228, -0.00200, -0.00796, 0.00226, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227238, -0.00204, -0.00820, 0.00352, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227248, -0.00204, -0.00820, 0.00352, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227258, -0.00204, -0.00820, 0.00352, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227271, -0.00204, -0.00820, 0.00352, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227281, -0.00204, -0.00820, 0.00352, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227291, -0.00204, -0.00820, 0.00352, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227301, -0.00204, -0.00820, 0.00352, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227311, -0.00204, -0.00820, 0.00352, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227321, -0.00204, -0.00820, 0.00352, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227331, -0.00204, -0.00820, 0.00352, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
2227341, -0.00228, -0.00821, 0.00463, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2227351, -0.00228, -0.00821, 0.00463, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2227361, -0.00228, -0.00821, 0.00463, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2227371, -0.00228, -0.00821, 0.00463, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2227381, -0.00228, -0.00821, 0.00463, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2227391, -0.00228, -0.00821, 0.00463, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2227401, -0.00228, -0.00821, 0.00463, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2227411, -0.00228, -0.00821, 0.00463, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2227421, -0.00228, -0.00821, 0.00463, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2227431, -0.00228, -0.00821, 0.00463, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
2227442, -0.00241, -0.00794, 0.00217, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -2.99606
2227452, -0.00241, -0.00794, 0.00217, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -2.99606
2227462, -0.00241, -0.00794, 0.00217, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -2.99606
2227472, -0.00241, -0.00794, 0.00217, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -2.99606
2227482, -0.00241, -0.00794, 0.00217, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -2.99606
2227493, -0.00241, -0.00794, 0.00217, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -2.99606
2227503, -0.00241, -0.00794, 0.00217, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -2.99606
2227513, -0.00241, -0.00794, 0.00217, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -2.99606
2227523, -0.00241, -0.00794, 0.00217, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -2.99606
2227533, -0.00241, -0.00794, 0.00217, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -2.99606
2227543, -0.00240, -0.00825, 0.00264, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -2.99606
2227554, -0.00240, -0.00825, 0.00264, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -2.99606
