time_ms, torque_y, torque_z, thrust, torque_x_sp, torque_y_sp, torque_z_sp, thrust_sp, amp_cut_in, phase_lag
1268823, -0.00002, -0.00007, -0.00015, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268834, -0.00002, -0.00007, -0.00015, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268844, -0.00002, -0.00007, -0.00015, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268854, -0.00002, -0.00007, -0.00015, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268864, -0.00002, -0.00007, -0.00015, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268874, -0.00002, -0.00007, -0.00015, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268884, -0.00002, -0.00007, -0.00015, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268894, -0.00002, -0.00007, -0.00015, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268904, -0.00002, -0.00007, -0.00015, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268914, -0.00002, -0.00007, -0.00015, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268924, -0.00002, -0.00007, -0.00044, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268934, -0.00002, -0.00007, -0.00044, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268944, -0.00002, -0.00007, -0.00044, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268954, -0.00002, -0.00007, -0.00044, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268964, -0.00002, -0.00007, -0.00044, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268974, -0.00002, -0.00007, -0.00044, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268984, -0.00002, -0.00007, -0.00044, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1268994, -0.00002, -0.00007, -0.00044, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1269004, -0.00002, -0.00007, -0.00044, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1269014, -0.00002, -0.00007, -0.00044, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1269024, 0.00000, -0.00005, -0.00045, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
1269034, 0.00000, -0.00005, -0.00045, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
