time_ms, force_y, torque_z, thrust, B_x, B_y, torque_z_sp, thrust_sp, amp_cut_in, phase_lag, angular_velocity
805896, -0.00064, 0.00178, 0.00018, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
805906, -0.00064, 0.00178, 0.00018, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
805916, -0.00064, 0.00178, 0.00018, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
805926, -0.00064, 0.00178, 0.00018, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
805936, -0.00064, 0.00178, 0.00018, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
805946, -0.00064, 0.00178, 0.00018, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
805956, -0.00064, 0.00178, 0.00018, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
805966, -0.00064, 0.00178, 0.00018, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
805976, -0.00064, 0.00178, 0.00018, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
805986, -0.00070, 0.00162, 0.00206, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -10.65267
805996, -0.00070, 0.00162, 0.00206, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -10.65267
806006, -0.00070, 0.00162, 0.00206, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -10.65267
806016, -0.00070, 0.00162, 0.00206, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -10.65267
806027, -0.00070, 0.00162, 0.00206, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -10.65267
806037, -0.00070, 0.00162, 0.00206, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -10.65267
806047, -0.00070, 0.00162, 0.00206, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -10.65267
806057, -0.00070, 0.00162, 0.00206, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -10.65267
806067, -0.00070, 0.00162, 0.00206, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -10.65267
806077, -0.00070, 0.00162, 0.00206, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, -10.65267
806087, -0.00111, 0.00142, 0.00240, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806097, -0.00111, 0.00142, 0.00240, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806107, -0.00111, 0.00142, 0.00240, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806117, -0.00111, 0.00142, 0.00240, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806127, -0.00111, 0.00142, 0.00240, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806137, -0.00111, 0.00142, 0.00240, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806147, -0.00111, 0.00142, 0.00240, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806157, -0.00111, 0.00142, 0.00240, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806167, -0.00111, 0.00142, 0.00240, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806177, -0.00111, 0.00142, 0.00240, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806187, -0.00079, 0.00098, 0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806197, -0.00079, 0.00098, 0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806207, -0.00079, 0.00098, 0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806217, -0.00079, 0.00098, 0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806227, -0.00079, 0.00098, 0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806237, -0.00079, 0.00098, 0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806247, -0.00079, 0.00098, 0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806257, -0.00079, 0.00098, 0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806267, -0.00079, 0.00098, 0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806277, -0.00079, 0.00098, 0.00001, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806287, -0.00124, 0.00050, 0.00168, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 8.98819
806297, -0.00124, 0.00050, 0.00168, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 8.98819
806307, -0.00124, 0.00050, 0.00168, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 8.98819
806317, -0.00124, 0.00050, 0.00168, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 8.98819
806327, -0.00124, 0.00050, 0.00168, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 8.98819
806337, -0.00124, 0.00050, 0.00168, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 8.98819
806347, -0.00124, 0.00050, 0.00168, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 8.98819
806357, -0.00124, 0.00050, 0.00168, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 8.98819
806367, -0.00124, 0.00050, 0.00168, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 8.98819
806377, -0.00124, 0.00050, 0.00168, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 8.98819
806387, -0.00089, 0.00126, 0.00067, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806397, -0.00089, 0.00126, 0.00067, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806407, -0.00089, 0.00126, 0.00067, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806417, -0.00089, 0.00126, 0.00067, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806427, -0.00089, 0.00126, 0.00067, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806437, -0.00089, 0.00126, 0.00067, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806450, -0.00089, 0.00126, 0.00067, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806460, -0.00089, 0.00126, 0.00067, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806470, -0.00089, 0.00126, 0.00067, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 5.99213
806480, -0.00093, 0.00178, -0.00031, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
806490, -0.00093, 0.00178, -0.00031, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
806501, -0.00093, 0.00178, -0.00031, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
806511, -0.00093, 0.00178, -0.00031, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
806521, -0.00093, 0.00178, -0.00031, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
806531, -0.00093, 0.00178, -0.00031, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
806541, -0.00093, 0.00178, -0.00031, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
806552, -0.00093, 0.00178, -0.00031, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
806562, -0.00093, 0.00178, -0.00031, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
806572, -0.00093, 0.00178, -0.00031, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 2.99606
806582, 0.00002, 0.00123, -0.00004, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806592, 0.00002, 0.00123, -0.00004, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806602, 0.00002, 0.00123, -0.00004, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806612, 0.00002, 0.00123, -0.00004, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806622, 0.00002, 0.00123, -0.00004, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806632, 0.00002, 0.00123, -0.00004, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806642, 0.00002, 0.00123, -0.00004, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806655, 0.00002, 0.00123, -0.00004, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806665, 0.00002, 0.00123, -0.00004, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806675, -0.00006, 0.00105, 0.00170, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000, 0.00000
806686, -0.00006, 0.00105, 0.00170, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806696, -0.00006, 0.00105, 0.00170, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806706, -0.00006, 0.00105, 0.00170, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806716, -0.00006, 0.00105, 0.00170, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806726, -0.00006, 0.00105, 0.00170, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806736, -0.00006, 0.00105, 0.00170, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806746, -0.00006, 0.00105, 0.00170, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806756, -0.00006, 0.00105, 0.00170, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806766, -0.00006, 0.00105, 0.00170, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806776, -0.00076, 0.00102, 0.00110, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806786, -0.00076, 0.00102, 0.00110, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806796, -0.00076, 0.00102, 0.00110, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806806, -0.00076, 0.00102, 0.00110, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806816, -0.00076, 0.00102, 0.00110, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806826, -0.00076, 0.00102, 0.00110, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806836, -0.00076, 0.00102, 0.00110, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806846, -0.00076, 0.00102, 0.00110, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806856, -0.00076, 0.00102, 0.00110, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806866, -0.00076, 0.00102, 0.00110, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 0.00000
806876, -0.00041, 0.00067, 0.00048, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 59.92130
806886, -0.00041, 0.00067, 0.00048, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 59.92130
806897, -0.00041, 0.00067, 0.00048, 0.00000, 0.00000, 0.00000, 0.25000, 0.00000, 0.80285, 59.92130
